ACCOUNTID,CUSTOMERID,ACCOUNTTYPE,ACCOUNTBALANCE,ACCOUNTSTATUS,INTERESTRATE,OPENINGDATE,LASTTRANSACTIONDATE
DKOF43820693680285,1516,Money market account,3546445,Active,8.71,YYYY-12-DD 01:12:SS,YYYY-04-DD 07:04:SS
GTNT04919496383691,1767,Savings account,912573,Frozen,9.52,YYYY-34-DD 08:34:SS,YYYY-34-DD 08:34:SS
RYBJ19802873524569,1284,Savings account,3920099,Closed,9.2,YYYY-40-DD 18:40:SS,YYYY-23-DD 06:23:SS
CXFV01522434911094,1805,Money market account,554606,Closed,5.41,YYYY-06-DD 17:06:SS,YYYY-06-DD 13:06:SS
GNHM80852530787749,1572,Checking account,2791932,Active,5.55,YYYY-00-DD 22:00:SS,YYYY-43-DD 09:43:SS
URWB10603606759211,2200,Individual retirement arrangement (IRA),776725,Active,9.43,YYYY-38-DD 15:38:SS,YYYY-04-DD 20:04:SS
NDDS57082733987932,1725,Savings account,4405066,Closed,6.18,YYYY-44-DD 01:44:SS,YYYY-13-DD 21:13:SS
EIVU78781996451715,1091,Brokerage account,3864142,Frozen,6.8,YYYY-02-DD 12:02:SS,YYYY-02-DD 17:02:SS
EBGO67793135822349,1500,Checking account,2446189,Frozen,6.71,YYYY-28-DD 04:28:SS,YYYY-23-DD 21:23:SS
GEME01563594858237,1363,Individual retirement arrangement (IRA),4626471,Closed,9.74,YYYY-29-DD 18:29:SS,YYYY-24-DD 00:24:SS
NFUD05548869340001,2324,Brokerage account,1006596,Active,8.95,YYYY-55-DD 19:55:SS,YYYY-55-DD 19:55:SS
GLOI25696474437531,1643,Checking account,1554844,Frozen,7.4,YYYY-17-DD 18:17:SS,YYYY-05-DD 14:05:SS
QIOD33669484342206,2358,Savings account,1865536,Active,6.69,YYYY-50-DD 15:50:SS,YYYY-29-DD 01:29:SS
VZVD88274833562693,1688,Certificate of deposit (CD),3419577,Closed,8.9,YYYY-57-DD 09:57:SS,YYYY-42-DD 02:42:SS
ECDP53449803236747,2351,Certificate of deposit (CD),3233161,Active,5.79,YYYY-01-DD 01:01:SS,YYYY-29-DD 23:29:SS
UODG38550582392652,1032,Individual retirement arrangement (IRA),3647586,Closed,7.61,YYYY-15-DD 20:15:SS,YYYY-17-DD 15:17:SS
LSWP23663922554169,2426,Individual retirement arrangement (IRA),3040509,Active,9.31,YYYY-32-DD 22:32:SS,YYYY-05-DD 07:05:SS
EPLO12932240727161,2022,Brokerage account,1555337,Frozen,8.67,YYYY-45-DD 15:45:SS,YYYY-09-DD 04:09:SS
RNDA92755944529528,1185,Certificate of deposit (CD),4411557,Closed,8.88,YYYY-43-DD 06:43:SS,YYYY-08-DD 23:08:SS
HNSC17519448383719,2008,Certificate of deposit (CD),4579733,Closed,5.39,YYYY-38-DD 11:38:SS,YYYY-44-DD 20:44:SS
ARSU78338330989056,2208,Money market account,1985890,Closed,6.22,YYYY-59-DD 02:59:SS,YYYY-05-DD 10:05:SS
HPRO70079726199803,1847,Savings account,4113130,Active,9.75,YYYY-16-DD 22:16:SS,YYYY-05-DD 03:05:SS
FTBS09763542659130,1583,Individual retirement arrangement (IRA),717813,Active,7.53,YYYY-13-DD 23:13:SS,YYYY-13-DD 15:13:SS
YRSD95385955883124,1774,Checking account,888005,Frozen,8.65,YYYY-04-DD 18:04:SS,YYYY-31-DD 12:31:SS
NLUD88443416669083,1740,Savings account,4712909,Closed,6.79,YYYY-22-DD 15:22:SS,YYYY-18-DD 13:18:SS
NQGD68892534735026,1763,Money market account,2477983,Active,5.37,YYYY-00-DD 05:00:SS,YYYY-23-DD 07:23:SS
HFMF10984344740838,1761,Money market account,833980,Active,7.1,YYYY-37-DD 06:37:SS,YYYY-21-DD 04:21:SS
BDUO94268408244495,2326,Money market account,1839734,Frozen,5.93,YYYY-32-DD 22:32:SS,YYYY-18-DD 15:18:SS
MLUQ74581745444995,1014,Individual retirement arrangement (IRA),2621146,Active,5.51,YYYY-25-DD 07:25:SS,YYYY-13-DD 07:13:SS
TCPM21309990033912,1523,Savings account,3014475,Closed,7.14,YYYY-57-DD 15:57:SS,YYYY-57-DD 13:57:SS
RFTY03991039255922,1389,Brokerage account,2541129,Active,8.44,YYYY-14-DD 23:14:SS,YYYY-14-DD 23:14:SS
CVHS70570269813668,2031,Money market account,3263225,Frozen,9.65,YYYY-38-DD 02:38:SS,YYYY-58-DD 21:58:SS
YCCY20099413919918,1802,Certificate of deposit (CD),4742816,Closed,7.4,YYYY-54-DD 21:54:SS,YYYY-48-DD 14:48:SS
HTAN67021384923032,1350,Checking account,2511863,Active,6.91,YYYY-29-DD 05:29:SS,YYYY-20-DD 21:20:SS
FYRB64057685188027,1186,Savings account,2034685,Frozen,8.27,YYYY-00-DD 05:00:SS,YYYY-03-DD 18:03:SS
GWEG27606240457721,2375,Checking account,2943396,Frozen,7.81,YYYY-03-DD 16:03:SS,YYYY-50-DD 14:50:SS
UPRN71711018986543,1666,Individual retirement arrangement (IRA),508438,Active,5.72,YYYY-05-DD 16:05:SS,YYYY-25-DD 15:25:SS
JOSW22969655404742,1139,Savings account,705268,Closed,6.63,YYYY-37-DD 17:37:SS,YYYY-35-DD 05:35:SS
QSTL49231981331002,1815,Brokerage account,4199121,Closed,8.1,YYYY-05-DD 09:05:SS,YYYY-53-DD 05:53:SS
ZTNE64567322729598,1523,Individual retirement arrangement (IRA),4787749,Active,7.1,YYYY-22-DD 22:22:SS,YYYY-28-DD 00:28:SS
CBWB78020629249056,1026,Checking account,1058885,Frozen,6.43,YYYY-09-DD 04:09:SS,YYYY-24-DD 03:24:SS
ZSPS01297979858735,2401,Certificate of deposit (CD),847521,Active,7.74,YYYY-56-DD 22:56:SS,YYYY-11-DD 21:11:SS
TPRO10709948270242,1052,Money market account,734927,Active,7.6,YYYY-17-DD 00:17:SS,YYYY-10-DD 20:10:SS
STHT04851165463752,2127,Checking account,364786,Closed,8.75,YYYY-26-DD 16:26:SS,YYYY-48-DD 08:48:SS
UILL55182951831293,1578,Savings account,4886058,Frozen,6.48,YYYY-31-DD 20:31:SS,YYYY-25-DD 07:25:SS
RIFW90156486026002,1162,Brokerage account,4218167,Active,9.69,YYYY-53-DD 13:53:SS,YYYY-42-DD 18:42:SS
ITWR63833874361905,1202,Checking account,4131360,Closed,9.11,YYYY-46-DD 06:46:SS,YYYY-36-DD 06:36:SS
TOPR23805626757351,1912,Savings account,1209331,Frozen,7.71,YYYY-21-DD 13:21:SS,YYYY-58-DD 16:58:SS
