CUSTOMERID,FIRSTNAME,LASTNAME,DATEOFBIRTH,GENDER,ADDRESS,EMAIL,PHONE,UID
1001,John,Vasquez,YYYY-03-DD,M,"668 Taylor Forges Suite 808 Martinezville, ME 76409",emorris@gmail.com,627.428.6446,460-21-7303
1002,James,Decker,YYYY-07-DD,M,"0320 John Spring North Amandachester, MP 91878",marshalllori@hotmail.com,+1-761-920-7793x60203,437-97-0184
1003,Jessica,Hobbs,YYYY-03-DD,F,"7164 Fuller Oval Archermouth, CO 79247",michael71@gmail.com,(378)689-2861x282,486-32-5348
1004,Taylor,Allen,YYYY-11-DD,F,"32211 David Meadow Newtonfurt, TN 81881",angela38@hotmail.com,001-823-999-0859,883-06-7054
1005,Alexander,Rivera,YYYY-09-DD,M,"49035 Tina Curve Suite 485 Scottside, MD 22431",wnorris@hotmail.com,732-228-3233,859-81-1347
1006,Eric,Scott,YYYY-10-DD,M,"2544 Macias Streets New Sherryfurt, CA 87110",jenniferfreeman@gmail.com,(975)455-4062x82643,455-11-6914
1007,Amy,Moore,YYYY-09-DD,F,"486 Fisher Shores West Nancytown, FL 34253",dixonamber@hotmail.com,001-469-655-0981x93248,089-81-5026
1008,Brian,Young,YYYY-07-DD,M,"27463 Donna Plaza North Maria, MN 54510",timothyscott@hotmail.com,881-992-0958,164-44-7964
1009,Edward,Evans,YYYY-02-DD,M,USNS Morris FPO AE 21797,tamara86@gmail.com,+1-379-388-0036x7906,758-98-0157
1010,Tyler,Hubbard,YYYY-10-DD,M,"98661 Robert Drive Nicholasshire, PW 98514",jeremy72@yahoo.com,(630)379-5649x689,359-17-7094
1011,Jackson,Powers,YYYY-09-DD,M,"6577 Boone Island Suite 207 Raybury, IN 39346",rubentorres@yahoo.com,+1-279-674-2461x604,709-66-6974
1012,Jamie,Bryant,YYYY-12-DD,M,"11953 John Skyway Kellyshire, FM 71124",ucameron@yahoo.com,758.712.3656x65633,132-41-2756
1013,Christopher,Lopez,YYYY-10-DD,M,"917 Crystal Harbor Apt. 508 Melindaport, CO 18260",craig33@yahoo.com,+1-740-816-6486x4640,080-64-2593
1014,Lisa,Fernandez,YYYY-09-DD,F,"123 Berry Isle Suite 455 Clarkfurt, OR 90393",williamthomas@gmail.com,001-629-855-3024x8218,672-34-2697
1015,Eric,Taylor,YYYY-04-DD,M,"748 James Ramp Suite 387 South Nicolasburgh, PR 24965",smithstephanie@hotmail.com,534-688-7463x865,828-12-9070
