FIXEDDEPOSITID,INVESTMENTACCOUNTID,PRINCIPALAMOUNT,INTERESTRATE,MATURITYDATE,INTERESTPAYMENTFREQUENCY,MATURITYAMOUNT
1001,PLDF69248222504292,276949,6.25,YYYY-58-DD 15:58:SS,Weekly,2841952
1002,YPOW54383096232028,171995,5.52,YYYY-37-DD 04:37:SS,Yearly,4378324
1003,XNFO93898530382443,955659,6.47,YYYY-01-DD 14:01:SS,Monthly,5952671
1004,PYSI87656394163546,980882,8,YYYY-35-DD 00:35:SS,Daily,2378899
1005,WUDJ25886340368532,423018,8.27,YYYY-16-DD 22:16:SS,Quarterly,2484521
1006,ZCES66077930722449,922291,7.24,YYYY-58-DD 22:58:SS,Weekly,922318
1007,EJWJ80582570431540,726982,6.26,YYYY-35-DD 11:35:SS,Daily,3388765
1008,MKVX34642650764713,77994,8.47,YYYY-34-DD 17:34:SS,Weekly,5859213
1009,YDIP18628973982758,996815,6.54,YYYY-44-DD 18:44:SS,Weekly,7745257
1010,JULM43866510402051,866176,6.31,YYYY-17-DD 14:17:SS,Monthly,2979607
1011,FYWH13047955886613,359285,7.22,YYYY-11-DD 08:11:SS,Monthly,3229059
1012,IDDX50278538812601,730303,5.4,YYYY-40-DD 12:40:SS,Yearly,9209025
1013,IOKG12391306060011,693991,8.13,YYYY-22-DD 12:22:SS,Yearly,1668505
1014,DAPB30506403363924,546384,7.44,YYYY-23-DD 14:23:SS,Yearly,3203121
1015,NAIR17017909786045,617810,5.79,YYYY-53-DD 05:53:SS,Half Yearly,7181690
1016,BJFU65823775409102,107515,6.63,YYYY-17-DD 00:17:SS,Quarterly,835783
1017,MBFT53362451020824,157550,7.83,YYYY-50-DD 02:50:SS,Daily,1571646
1018,JTZN94116705920407,616788,8.13,YYYY-49-DD 18:49:SS,Half Yearly,1000056
1019,DFUT91961198854675,181129,6.55,YYYY-54-DD 11:54:SS,Monthly,3694216
1020,QIFN38270514043080,411529,8.56,YYYY-36-DD 02:36:SS,Half Yearly,7982797
1021,DOMG89716655255344,431956,6.85,YYYY-39-DD 22:39:SS,Weekly,509953
1022,OTDD89088189598767,848309,6.28,YYYY-01-DD 12:01:SS,Quarterly,2069286
1023,KAHE53036890989712,55318,5.73,YYYY-56-DD 01:56:SS,Half Yearly,9320413
1024,ABUT40633409519813,221799,8.6,YYYY-17-DD 03:17:SS,Daily,9230852
1025,KUEK16263817252913,931468,7.64,YYYY-21-DD 06:21:SS,Weekly,9073155
1026,IFTM34372063377270,193921,8.6,YYYY-38-DD 16:38:SS,Weekly,5921077
1027,DYSZ57577835005908,788607,7.76,YYYY-39-DD 01:39:SS,Weekly,2212764
1028,WUKH83150629729780,523954,8.64,YYYY-03-DD 19:03:SS,Daily,1522300
1029,YWNY16183952109762,363557,5.41,YYYY-32-DD 23:32:SS,Half Yearly,2432298
1030,AWYL89719842019478,404217,8.3,YYYY-39-DD 09:39:SS,Quarterly,7254015
1031,HUYQ41942116114909,925899,6.26,YYYY-34-DD 07:34:SS,Quarterly,1459241
1032,IAPM55164901606993,226351,8.53,YYYY-22-DD 07:22:SS,Daily,7459771
1033,FXMZ58068941934575,734328,6.48,YYYY-40-DD 09:40:SS,Yearly,2903379
1034,FLFV36204851876425,453184,8.11,YYYY-33-DD 03:33:SS,Half Yearly,2254921
1035,IZFW36140666800131,918000,6.84,YYYY-35-DD 14:35:SS,Weekly,1636318
1036,PWVK27777408387530,673988,6.43,YYYY-01-DD 22:01:SS,Weekly,1581636
1037,PMRC80893166094831,20366,6.1,YYYY-07-DD 20:07:SS,Half Yearly,2817651
1038,EMGG52807913297081,863897,8.61,YYYY-33-DD 03:33:SS,Daily,3049053
1039,MUFX89709946509580,952438,5.41,YYYY-55-DD 12:55:SS,Monthly,7649298
1040,OPOM36300654863584,940229,5.84,YYYY-50-DD 10:50:SS,Quarterly,8681230
1041,HUQQ85819179505722,332256,5.76,YYYY-41-DD 20:41:SS,Yearly,4978669
1042,MNRZ99431076376654,682679,8.25,YYYY-17-DD 15:17:SS,Yearly,6404992
1043,FAUM44878284483466,315788,8.32,YYYY-17-DD 10:17:SS,Weekly,1740051
1044,ZNJL94190855191496,928033,8.9,YYYY-53-DD 14:53:SS,Yearly,7927715
1045,QXWB44975321448496,792169,7.58,YYYY-25-DD 12:25:SS,Quarterly,3337338
1046,JEPN11942531080108,50403,8.59,YYYY-32-DD 01:32:SS,Half Yearly,3956135
1047,JEOT90821851896276,358708,5.89,YYYY-40-DD 07:40:SS,Yearly,1828485
1048,BRAT34307087246755,213949,5.14,YYYY-19-DD 02:19:SS,Quarterly,4853490
1049,SOPD45430805617635,856613,6.99,YYYY-09-DD 06:09:SS,Weekly,1653564
1050,ZCWM74972683274460,63673,6.39,YYYY-40-DD 04:40:SS,Daily,5265861
1051,HLAO86975841314119,875098,8.38,YYYY-20-DD 11:20:SS,Daily,9550238
1052,HPDB95467828236480,384539,5.41,YYYY-28-DD 19:28:SS,Yearly,384566
1053,GGEL84075348573494,848585,7.4,YYYY-25-DD 04:25:SS,Half Yearly,5454888
1054,MTXJ18666380024418,182083,8.41,YYYY-34-DD 00:34:SS,Monthly,6390043
1055,EUZF84318296393747,517095,5.65,YYYY-04-DD 00:04:SS,Monthly,7853534
1056,XFKE62682093818789,398061,7.62,YYYY-57-DD 08:57:SS,Weekly,4538732
1057,ZXYI99091851211074,742245,7.77,YYYY-20-DD 19:20:SS,Half Yearly,7699322
1058,MUKR00230002354732,186525,5.5,YYYY-37-DD 19:37:SS,Quarterly,9094242
1059,COCI88805546809664,472648,5.15,YYYY-20-DD 20:20:SS,Daily,7968949
1060,BWKS84730694946203,447862,7.89,YYYY-46-DD 11:46:SS,Monthly,8932238
1061,DLXC07041078157389,624606,5.76,YYYY-41-DD 05:41:SS,Quarterly,2940607
1062,MTPI34474563336655,633826,7.76,YYYY-18-DD 10:18:SS,Half Yearly,6100787
1063,ULIW49236928583301,677047,6.31,YYYY-52-DD 00:52:SS,Half Yearly,8022816
1064,OERY35235793310673,689390,6.82,YYYY-41-DD 08:41:SS,Monthly,6906711
1065,QHKZ40554046667216,704378,7.45,YYYY-28-DD 21:28:SS,Yearly,3322652
1066,EHKV55482057767357,351645,6.77,YYYY-53-DD 15:53:SS,Quarterly,9765932
1067,ALZN76653468707984,357309,5.82,YYYY-53-DD 13:53:SS,Daily,6341713
1068,PGQX59983435018575,993424,5.95,YYYY-55-DD 23:55:SS,Monthly,9537472
1069,EZTW08853746970352,840926,8.84,YYYY-55-DD 08:55:SS,Yearly,6426042
1070,TJVA82170020307038,823965,8.43,YYYY-59-DD 18:59:SS,Yearly,5073193
1071,PHDF32807839409340,584659,6.75,YYYY-07-DD 18:07:SS,Monthly,9896945
1072,MUKR00230002354732,908724,8,YYYY-35-DD 06:35:SS,Monthly,5025942
1073,PMXF28538308161496,830025,5.36,YYYY-28-DD 19:28:SS,Half Yearly,5707084
1074,DVNE95149330639412,931887,8.42,YYYY-30-DD 11:30:SS,Yearly,7958177
1075,BDKA81240590207292,654435,8.53,YYYY-28-DD 05:28:SS,Half Yearly,9469270
1076,TOPQ13694172548192,279948,8.16,YYYY-04-DD 01:04:SS,Daily,5785503
1077,AQZD43682287299422,995029,5.66,YYYY-54-DD 21:54:SS,Yearly,7040475
1078,RQRN36293505577660,106163,7.42,YYYY-28-DD 10:28:SS,Weekly,9549420
1079,RGZR92445948987670,387518,5.5,YYYY-31-DD 17:31:SS,Half Yearly,5657224
1080,VFEU31315018124626,689467,7.14,YYYY-33-DD 16:33:SS,Daily,6140981
1081,IZTR77105890002740,143211,7.56,YYYY-41-DD 02:41:SS,Daily,4766157
1082,NPII22064862395249,850705,8.99,YYYY-22-DD 05:22:SS,Weekly,3660944
1083,MKVX34642650764713,483322,7.16,YYYY-42-DD 18:42:SS,Half Yearly,7087832
1084,SRBW45396305607158,120127,7.96,YYYY-57-DD 09:57:SS,Monthly,730539
1085,LVMO11847225880562,335413,6.53,YYYY-09-DD 17:09:SS,Yearly,1396121
1086,VVPA50255195379634,617237,8.7,YYYY-42-DD 16:42:SS,Daily,9140920
