INVESTMENTACCOUNTID,CUSTOMERID,ACCOUNTTYPE,INVESTMENTSTATUS,INVESTMENTSTARTDATE,INVESTMENTENDDATE,RETURNS,INVESTMENTPORTFOLIO
AFCW06839238647243,1193,Stocks,Closed,YYYY-54-DD 08:54:SS,YYYY-00-DD 13:00:SS,10.21,69151927
BTCN84307308481690,1694,Stocks,Active,YYYY-56-DD 13:56:SS,YYYY-05-DD 12:05:SS,9.73,49153651
ORTC54709703015936,1652,Mutual Funds,Active,YYYY-41-DD 13:41:SS,YYYY-37-DD 13:37:SS,19.23,20644642
KTCW16919244748995,2299,Fixed Deposits,Closed,YYYY-14-DD 10:14:SS,YYYY-14-DD 10:14:SS,9.98,15760135
SPWT96198308790927,1348,Stocks,Active,YYYY-08-DD 08:08:SS,YYYY-54-DD 17:54:SS,5.52,92859944
XNHJ74177595198259,2149,Stocks,Closed,YYYY-54-DD 11:54:SS,YYYY-26-DD 14:26:SS,5.7,89488966
NFYH58672492061445,2466,Fixed Deposits,Closed,YYYY-33-DD 02:33:SS,YYYY-39-DD 23:39:SS,14.3,77100146
BIWZ21272567226509,2431,Stocks,Closed,YYYY-50-DD 12:50:SS,YYYY-52-DD 09:52:SS,18.28,83665868
JEHD57789010290249,2136,Mutual Funds,Closed,YYYY-25-DD 02:25:SS,YYYY-17-DD 15:17:SS,10.97,04331162
ARJR07367863296218,1523,Stocks,Active,YYYY-57-DD 21:57:SS,YYYY-05-DD 03:05:SS,11.24,49305685
GBFW45172047821760,1709,Mutual Funds,Active,YYYY-59-DD 00:59:SS,YYYY-17-DD 08:17:SS,18.14,96317594
INKX24179985994305,1594,Fixed Deposits,Closed,YYYY-01-DD 00:01:SS,YYYY-13-DD 04:13:SS,13.8,86145831
VXZV24466528791587,1027,Fixed Deposits,Closed,YYYY-33-DD 10:33:SS,YYYY-33-DD 10:33:SS,6.96,77858696
BBAF70753242574910,1947,Mutual Funds,Closed,YYYY-01-DD 05:01:SS,YYYY-56-DD 15:56:SS,15.99,39802644
DYGG49123056872172,1341,Mutual Funds,Closed,YYYY-11-DD 16:11:SS,YYYY-20-DD 08:20:SS,12.15,22513007
RPGZ60599233400122,1994,Stocks,Closed,YYYY-16-DD 01:16:SS,YYYY-43-DD 10:43:SS,14.73,61902879
XBTQ87989353307717,1570,Stocks,Active,YYYY-55-DD 09:55:SS,YYYY-58-DD 03:58:SS,13.89,65319628
QNRZ48220629143856,2122,Mutual Funds,Closed,YYYY-41-DD 05:41:SS,YYYY-21-DD 05:21:SS,16.21,75629786
KKYD65612372616221,2070,Stocks,Closed,YYYY-53-DD 05:53:SS,YYYY-25-DD 16:25:SS,9.71,57998329
EEYF39468637250317,1509,Stocks,Active,YYYY-55-DD 18:55:SS,YYYY-46-DD 05:46:SS,13.68,09167292
OQKU77592688067606,1714,Stocks,Active,YYYY-17-DD 19:17:SS,YYYY-06-DD 15:06:SS,19.43,78498198
GDXM17705057337560,1147,Fixed Deposits,Active,YYYY-17-DD 20:17:SS,YYYY-05-DD 12:05:SS,9.35,99710729
