TRANSACTIONID,ACCOUNTID,TRANSACTIONTYPE,AMOUNT,TRANSACTIONDATE,TRANSACTIONSTATUS
10001,FZUT96295059116090,Online Payments,40056,YYYY-00-DD 18:00:SS,Failed
10002,CEEI11888644298003,Deposit,6534,YYYY-04-DD 17:04:SS,Completed
10003,QIOT28574180630968,Wire Transfers,21115,YYYY-42-DD 20:42:SS,Failed
10004,RMRK80131189970567,Deposit,40611,YYYY-26-DD 19:26:SS,Failed
10005,ESDH53202507823158,Online Payments,20833,YYYY-20-DD 00:20:SS,Pending
10006,GNHM80852530787749,Online Payments,13067,YYYY-22-DD 14:22:SS,Completed
10007,MALX04034394991825,Cash Withdrawals,11878,YYYY-01-DD 01:01:SS,Failed
10008,ZIRR99902507832671,Checks,45391,YYYY-35-DD 14:35:SS,Pending
10009,NZLT43450832117310,Checks,41173,YYYY-57-DD 03:57:SS,Pending
10010,UJBJ75250595030262,Online Payments,9999,YYYY-58-DD 20:58:SS,Failed
10011,EOGU96209486327407,Deposit,38477,YYYY-41-DD 16:41:SS,Failed
10012,LJYD94884075271470,Wire Transfers,5486,YYYY-35-DD 21:35:SS,Completed
10013,PDYV43168126181378,Cash Withdrawals,5795,YYYY-24-DD 11:24:SS,Pending
10014,MEOO37983888596779,Cash Withdrawals,14917,YYYY-28-DD 12:28:SS,Failed
10015,VDTI92678670571054,Cash Withdrawals,28534,YYYY-37-DD 19:37:SS,Pending
10016,JVDZ20426352601153,Withdrawal,11876,YYYY-25-DD 01:25:SS,Failed
10017,UUJA28633971824326,Online Payments,44250,YYYY-16-DD 09:16:SS,Pending
10018,RGVS92656589543487,Deposit,24956,YYYY-29-DD 11:29:SS,Failed
10019,QDPG87926688411980,Online Payments,20966,YYYY-32-DD 16:32:SS,Pending
10020,FXEM48567761619671,Wire Transfers,28644,YYYY-23-DD 08:23:SS,Pending
10021,JOWE76730502763055,Deposit,4851,YYYY-20-DD 20:20:SS,Completed
10022,IYRN46306176395023,Checks,19693,YYYY-01-DD 08:01:SS,Pending
10023,YGMD92637405713486,Checks,14904,YYYY-35-DD 13:35:SS,Completed
10024,ANQE10507017020637,Online Payments,6259,YYYY-06-DD 17:06:SS,Pending
10025,COFI11268735981716,Wire Transfers,27535,YYYY-43-DD 13:43:SS,Failed
10026,MVHW07587227633310,Wire Transfers,16462,YYYY-13-DD 19:13:SS,Pending
10027,ZKOL70112202883784,Checks,29360,YYYY-21-DD 20:21:SS,Completed
10028,EWAR20114420257742,Online Payments,21719,YYYY-49-DD 20:49:SS,Failed
10029,TOHD39945027316680,Wire Transfers,19074,YYYY-15-DD 19:15:SS,Failed
10030,FCRP44039257959996,Checks,13117,YYYY-18-DD 02:18:SS,Pending
10031,POLQ21202975334797,Withdrawal,15573,YYYY-48-DD 23:48:SS,Completed
10032,MYRP98688446484759,Deposit,18843,YYYY-40-DD 01:40:SS,Pending
10033,UROI48456317063359,Withdrawal,19781,YYYY-33-DD 04:33:SS,Failed
10034,UTJS43633764267598,Deposit,31269,YYYY-57-DD 16:57:SS,Failed
10035,VSEU15223344481627,Checks,22015,YYYY-36-DD 08:36:SS,Completed
10036,MMIY98100970772311,Withdrawal,17440,YYYY-51-DD 14:51:SS,Pending
10037,AAYX67871354759373,Cash Withdrawals,43170,YYYY-32-DD 03:32:SS,Completed
10038,ZDJP39885174018283,Online Payments,40813,YYYY-24-DD 12:24:SS,Completed
10039,LTJT90568550858909,Online Payments,49786,YYYY-12-DD 07:12:SS,Completed
10040,AKBY98224589027580,Online Payments,36593,YYYY-04-DD 21:04:SS,Completed
10041,BWLS60194846759956,Deposit,40969,YYYY-07-DD 02:07:SS,Pending
10042,HSYA08178210709805,Deposit,34108,YYYY-39-DD 00:39:SS,Completed
10043,CPMV30642579637448,Cash Withdrawals,38444,YYYY-47-DD 05:47:SS,Completed
10044,UGBB95395106473959,Checks,25622,YYYY-15-DD 09:15:SS,Failed
10045,NBHP58050293961934,Wire Transfers,32608,YYYY-11-DD 15:11:SS,Pending
